Left	Top	Right	Bottom	Rotation	CenterOfMassX	CenterOfMassY	FirstPixelY	Area	Mean Intensity	Standard  Deviation	Minimum Intensity	Maximum Intensity
1074.000000	80.000000	1094.000000	98.000000	0.000000	1083.812030	88.676692	80.000000	266.000000	0.172037	0.014238	0.138072	0.220016
791.000000	87.000000	808.000000	101.000000	0.000000	798.698864	93.250000	87.000000	176.000000	0.178359	0.013159	0.144244	0.213908
842.000000	87.000000	862.000000	105.000000	0.000000	851.828897	95.984791	87.000000	263.000000	0.186853	0.019045	0.149486	0.243012
1343.000000	88.000000	1366.000000	109.000000	0.000000	1353.829132	97.921569	88.000000	357.000000	0.192221	0.017455	0.141741	0.235939
190.000000	89.000000	206.000000	104.000000	0.000000	197.832335	96.221557	89.000000	167.000000	0.189716	0.015224	0.143766	0.232932
1841.000000	91.000000	1861.000000	110.000000	0.000000	1850.676471	100.503676	91.000000	272.000000	0.202909	0.016990	0.156166	0.242975
1746.000000	92.000000	1768.000000	112.000000	0.000000	1756.714724	101.932515	92.000000	326.000000	0.200080	0.018068	0.153208	0.246386
917.000000	100.000000	944.000000	121.000000	0.000000	929.650794	110.079365	100.000000	441.000000	0.221833	0.020850	0.170585	0.278655
1243.000000	102.000000	1269.000000	123.000000	0.000000	1255.196078	111.897059	102.000000	408.000000	0.233007	0.022611	0.185976	0.297386
216.000000	108.000000	240.000000	128.000000	0.000000	227.163380	117.529577	108.000000	355.000000	0.243876	0.022693	0.199847	0.314761
1529.000000	119.000000	1556.000000	141.000000	0.000000	1542.331887	129.485900	119.000000	461.000000	0.278953	0.026092	0.202521	0.349256
1724.000000	119.000000	1748.000000	138.000000	0.000000	1735.529762	128.375000	119.000000	336.000000	0.276954	0.023676	0.207788	0.348716
811.000000	135.000000	837.000000	157.000000	0.000000	823.541284	145.229358	135.000000	436.000000	0.349613	0.031945	0.271537	0.430686
37.000000	141.000000	58.000000	158.000000	0.000000	46.936090	149.428571	141.000000	266.000000	0.367869	0.029924	0.294872	0.441980
832.000000	500.000000	859.000000	524.000000	0.000000	844.290672	511.403471	500.000000	461.000000	0.301463	0.033192	0.224796	0.388593
170.000000	521.000000	193.000000	542.000000	0.000000	180.384393	530.875723	521.000000	346.000000	0.228452	0.024299	0.166569	0.293920
10.000000	522.000000	27.000000	535.000000	0.000000	18.081871	527.906433	522.000000	171.000000	0.238410	0.022295	0.180982	0.308215
1049.000000	547.000000	1068.000000	564.000000	0.000000	1057.991597	555.084034	547.000000	238.000000	0.145913	0.014859	0.105520	0.192189
887.000000	551.000000	905.000000	567.000000	0.000000	895.760766	559.119617	551.000000	209.000000	0.141709	0.013562	0.108733	0.174950
1615.000000	84.000000	1633.000000	101.000000	0.000000	1623.089202	92.004695	84.000000	213.000000	0.172225	0.014488	0.131013	0.212411
647.000000	90.000000	671.000000	110.000000	0.000000	658.332344	99.418398	90.000000	337.000000	0.185444	0.016593	0.146067	0.236741
1132.000000	90.000000	1152.000000	106.000000	0.000000	1141.950450	97.585586	90.000000	222.000000	0.185117	0.014098	0.147927	0.231587
156.000000	97.000000	170.000000	107.000000	0.000000	162.986301	101.205479	97.000000	73.000000	0.196122	0.015150	0.157711	0.227253
548.000000	101.000000	567.000000	116.000000	0.000000	556.660000	107.595000	101.000000	200.000000	0.202814	0.016068	0.164384	0.243777
1151.000000	101.000000	1175.000000	120.000000	0.000000	1162.806452	110.049853	101.000000	341.000000	0.222231	0.021070	0.165770	0.274463
1348.000000	102.000000	1370.000000	122.000000	0.000000	1358.956647	111.627168	102.000000	346.000000	0.220234	0.019732	0.177275	0.283906
826.000000	104.000000	841.000000	117.000000	0.000000	833.435484	110.790323	104.000000	124.000000	0.215800	0.015166	0.177789	0.258603
406.000000	108.000000	430.000000	125.000000	0.000000	418.098684	115.898026	108.000000	304.000000	0.226513	0.018668	0.181305	0.284454
1393.000000	109.000000	1418.000000	129.000000	0.000000	1405.378016	118.501340	109.000000	373.000000	0.240858	0.021243	0.182434	0.300221
1817.000000	109.000000	1841.000000	129.000000	0.000000	1828.780120	118.439759	109.000000	332.000000	0.246303	0.022223	0.195883	0.301055
